,GeneID,PathwayID,Symbol
13813,1000,path:hsa04514,CDH2
13814,1001,path:hsa04514,CDH3
13815,100132463,path:hsa04514,CLDN24
13816,1002,path:hsa04514,CDH4
13817,1003,path:hsa04514,CDH5
13818,100506658,path:hsa04514,OCLN
13819,1013,path:hsa04514,CDH15
13820,102723996,path:hsa04514,LOC102723996
13821,10666,path:hsa04514,CD226
13822,10686,path:hsa04514,CLDN16
13823,1272,path:hsa04514,CNTN1
13824,1364,path:hsa04514,CLDN4
13825,1365,path:hsa04514,CLDN3
13826,1366,path:hsa04514,CLDN7
13827,137075,path:hsa04514,CLDN23
13828,1462,path:hsa04514,VCAN
13829,1493,path:hsa04514,CTLA4
13830,149461,path:hsa04514,CLDN19
13831,152404,path:hsa04514,IGSF11
13832,201633,path:hsa04514,TIGIT
13833,214,path:hsa04514,ALCAM
13834,22829,path:hsa04514,NLGN4Y
13835,22854,path:hsa04514,NTNG1
13836,22871,path:hsa04514,NLGN1
13837,23114,path:hsa04514,NFASC
13838,23308,path:hsa04514,ICOSLG
13839,23562,path:hsa04514,CLDN14
13840,23705,path:hsa04514,CADM1
13841,24146,path:hsa04514,CLDN15
13842,257194,path:hsa04514,NEGR1
13843,25945,path:hsa04514,NECTIN3
13844,26047,path:hsa04514,CNTNAP2
13845,26285,path:hsa04514,CLDN17
13846,2734,path:hsa04514,GLG1
13847,29126,path:hsa04514,CD274
13848,29851,path:hsa04514,ICOS
13849,3105,path:hsa04514,HLA-A
13850,3106,path:hsa04514,HLA-B
13851,3107,path:hsa04514,HLA-C
13852,3108,path:hsa04514,HLA-DMA
13853,3109,path:hsa04514,HLA-DMB
13854,3111,path:hsa04514,HLA-DOA
13855,3112,path:hsa04514,HLA-DOB
13856,3113,path:hsa04514,HLA-DPA1
13857,3115,path:hsa04514,HLA-DPB1
13858,3117,path:hsa04514,HLA-DQA1
13859,3118,path:hsa04514,HLA-DQA2
13860,3119,path:hsa04514,HLA-DQB1
13861,3122,path:hsa04514,HLA-DRA
13862,3123,path:hsa04514,HLA-DRB1
13863,3125,path:hsa04514,HLA-DRB3
13864,3126,path:hsa04514,HLA-DRB4
13865,3127,path:hsa04514,HLA-DRB5
13866,3133,path:hsa04514,HLA-E
13867,3134,path:hsa04514,HLA-F
13868,3135,path:hsa04514,HLA-G
13869,3383,path:hsa04514,ICAM1
13870,3384,path:hsa04514,ICAM2
13871,3385,path:hsa04514,ICAM3
13872,3655,path:hsa04514,ITGA6
13873,3676,path:hsa04514,ITGA4
13874,3680,path:hsa04514,ITGA9
13875,3683,path:hsa04514,ITGAL
13876,3684,path:hsa04514,ITGAM
13877,3685,path:hsa04514,ITGAV
13878,3688,path:hsa04514,ITGB1
13879,3689,path:hsa04514,ITGB2
13880,3695,path:hsa04514,ITGB7
13881,3696,path:hsa04514,ITGB8
13882,3897,path:hsa04514,L1CAM
13883,4099,path:hsa04514,MAG
13884,4267,path:hsa04514,CD99
13885,4359,path:hsa04514,MPZ
13886,4684,path:hsa04514,NCAM1
13887,4685,path:hsa04514,NCAM2
13888,4756,path:hsa04514,NEO1
13889,4897,path:hsa04514,NRCAM
13890,49861,path:hsa04514,CLDN20
13891,5010,path:hsa04514,CLDN11
13892,50848,path:hsa04514,F11R
13893,51208,path:hsa04514,CLDN18
13894,5133,path:hsa04514,PDCD1
13895,5175,path:hsa04514,PECAM1
13896,53842,path:hsa04514,CLDN22
13897,54413,path:hsa04514,NLGN3
13898,57502,path:hsa04514,NLGN4X
13899,57555,path:hsa04514,NLGN2
13900,57689,path:hsa04514,LRRC4C
13901,57863,path:hsa04514,CADM3
13902,5788,path:hsa04514,PTPRC
13903,5792,path:hsa04514,PTPRF
13904,5797,path:hsa04514,PTPRM
13905,5817,path:hsa04514,PVR
13906,5818,path:hsa04514,NECTIN1
13907,5819,path:hsa04514,NECTIN2
13908,58494,path:hsa04514,JAM2
13909,6382,path:hsa04514,SDC1
13910,6383,path:hsa04514,SDC2
13911,6385,path:hsa04514,SDC4
13912,6401,path:hsa04514,SELE
13913,6402,path:hsa04514,SELL
13914,6403,path:hsa04514,SELP
13915,6404,path:hsa04514,SELPLG
13916,64101,path:hsa04514,LRRC4
13917,64115,path:hsa04514,VSIR
13918,644672,path:hsa04514,CLDN25
13919,6614,path:hsa04514,SIGLEC1
13920,6693,path:hsa04514,SPN
13921,6900,path:hsa04514,CNTN2
13922,7122,path:hsa04514,CLDN5
13923,7412,path:hsa04514,VCAM1
13924,79679,path:hsa04514,VTCN1
13925,80380,path:hsa04514,PDCD1LG2
13926,80381,path:hsa04514,CD276
13927,8174,path:hsa04514,MADCAM1
13928,83700,path:hsa04514,JAM3
13929,84628,path:hsa04514,NTNG2
13930,8506,path:hsa04514,CNTNAP1
13931,8516,path:hsa04514,ITGA8
13932,9019,path:hsa04514,MPZL1
13933,9071,path:hsa04514,CLDN10
13934,9073,path:hsa04514,CLDN8
13935,9074,path:hsa04514,CLDN6
13936,9075,path:hsa04514,CLDN2
13937,9076,path:hsa04514,CLDN1
13938,9080,path:hsa04514,CLDN9
13939,90952,path:hsa04514,ESAM
13940,914,path:hsa04514,CD2
