	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.048592537077409	0.952569187258613	0.0264164504132287	-1.83948018440339	0.0658445898353146	0.904504654261501	1.00318782467226
BRCA	-0.0831328732849976	0.920228865264025	0.029844406029556	-2.78554289881554	0.00534381684864688	0.86794508344576	0.975662148005052
CESC	-0.0905902771842554	0.913391871732481	0.0376795518750436	-2.40422915550268	0.0162066105668103	0.848367943369337	0.983399617898762
CHOL	0.00716451426232085	1.0071902407973	0.063846459524984	0.112214746371602	0.910653137105048	0.888720716985483	1.141452159007
COAD	-0.113188505256737	0.89298231238924	0.0474098686712243	-2.38744608304383	0.0169658911570368	0.813743445347657	0.979937122442016
ESCA	-0.00109969148576508	0.998900912953331	0.0667420499895524	-0.0164767412139307	0.98685405739241	0.876418374392892	1.13850081542413
GBM	-0.0110344437989142	0.989026212368704	0.0304622650722782	-0.362233201396307	0.717177770713977	0.931704675559667	1.04987435870149
HNSC	-0.07651141677967	0.926342338382074	0.0357458176724014	-2.14042989534809	0.0323200406825054	0.863663605036484	0.993569860852155
KICH	0.0247515010075171	1.02506036240488	0.14797886879464	0.167263753325933	0.867162522971607	0.766989818381827	1.36996440029734
KIRC	-0.110943874696017	0.894988979047938	0.0358073120505954	-3.09835808226135	0.00194596146598525	0.834331130295847	0.96005679703362
KIRP	-0.0374416797257177	0.963250593121517	0.0595433193175231	-0.628814116425971	0.529470757203291	0.857148204633161	1.08248690265419
LIHC	-0.0729678216926601	0.929630743488284	0.029283123496412	-2.49180459528509	0.0127095938284813	0.87777789080289	0.98454669261275
LUAD	-0.132646747394718	0.875774407063332	0.0374681829057313	-3.54025034329668	0.000399747646072623	0.813765501274034	0.942508389537703
LUSC	-0.00653521278999175	0.993486095270276	0.0421224148221931	-0.155148103867695	0.87670455987933	0.914759921706251	1.07898760983577
PAAD	-0.0282545108016846	0.972140914949384	0.0557592576707702	-0.506723223765154	0.612349033156427	0.871498924901686	1.08440519146393
PCPG	-0.00841844194463918	0.991616893910609	0.12766584995819	-0.0659412203607794	0.947424622877862	0.77210177100562	1.27354203968244
PRAD	-0.0134320885999643	0.986657719349649	0.172772638314834	-0.0777443044858049	0.938031450850918	0.703237759619147	1.38430202564701
READ	-0.0299453274080879	0.970498591771539	0.0841347117524328	-0.35592119809244	0.721899580194369	0.822961110887171	1.14448605671681
SARC	-0.0898234502794138	0.914092553810989	0.0259062442421687	-3.46725096234538	0.000525810721414073	0.86883785777152	0.961704407167334
STAD	0.0382373045192889	1.03897775774396	0.0429139433626222	0.89102285931135	0.372916906867557	0.955163757952108	1.13014629386807
THCA	-0.0222589147579776	0.977986987003751	0.107627296988094	-0.206814770795925	0.836154520111829	0.791991562520206	1.20766254593056
THYM	-0.242579032978395	0.784601735716236	0.0878793840868407	-2.76036337189941	0.00577371026953659	0.660459508791719	0.932078159969478
UCEC	-0.0683848195086384	0.933901021087432	0.0291504979267795	-2.34592286143476	0.0189800351328863	0.882039229938167	0.988812161165768
