	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0290593160994185	0.971358845539904	0.0223214607494994	-1.30185548452828	0.192965792366005	0.929778795664543	1.01479837054602
BRCA	-0.0709775984258327	0.931482758573972	0.0299001341764672	-2.37382207072821	0.0176050318240908	0.878463619266229	0.987701835899959
CESC	-0.12357788141469	0.883752810644672	0.0319422980710866	-3.86878493024112	0.00010937906680895	0.830121141508106	0.940849463131918
CHOL	-0.0219448671489794	0.978294169711124	0.053210022351628	-0.412419807004797	0.68003174786034	0.881408048981119	1.08583020497386
COAD	-0.0195617061182819	0.980628382550721	0.0329921327639179	-0.592920326135319	0.553234474275362	0.919224317149932	1.04613423157211
ESCA	0.0282879835833609	1.0286918881446	0.0587520948669092	0.481480424611948	0.63017508913566	0.916801766354055	1.15423752393364
GBM	-0.0116213177917698	0.988445948893838	0.0235532669352781	-0.493405769301727	0.621725906691807	0.943852974136651	1.03514574902763
HNSC	-0.0287045969131594	0.971703466277339	0.0241133232443413	-1.19040401948311	0.233887633996954	0.926847865269858	1.01872989274295
KICH	0.300815762562628	1.35096042112251	0.157080530217106	1.91504168051166	0.0554871883081856	0.992968418734613	1.83801823401928
KIRC	-0.10365410132125	0.90153708398101	0.0327397961625079	-3.16599714936373	0.00154552308285603	0.845503540946664	0.961284104006199
KIRP	-0.00769019063524683	0.992339303227854	0.0572857373942549	-0.134242675141301	0.89321068140915	0.886948665399696	1.11025286033547
LIHC	-0.00599413876342217	0.99402379024546	0.0226228394804016	-0.264959611662142	0.791040575338736	0.950911681938827	1.03909050055977
LUAD	-0.102891351571245	0.902224993484486	0.0271750817580341	-3.78623889662543	0.000152944642563366	0.855427843804767	0.951582234274176
LUSC	-0.000596401154683971	0.999403776657134	0.030572369117416	-0.0195078488158192	0.984435975785871	0.941277632042868	1.06111934969581
PAAD	-0.0173236668752876	0.982825525082177	0.0537921060704289	-0.322048496346398	0.747415955204484	0.884480990491722	1.09210488765399
PCPG	-0.143595480295346	0.866238087570154	0.0865571413728801	-1.65896745222616	0.0971223510793188	0.731071246177225	1.02639575592786
PRAD	-0.223565217163497	0.79966273843141	0.121224982738369	-1.8442173561369	0.0651514699395631	0.630550635104822	1.01413028492045
READ	-0.103385043091337	0.901779682588139	0.0556374330356705	-1.85819218196235	0.0631417278439716	0.808614970350324	1.00567838309554
SARC	-0.0582954431454099	0.943371193708129	0.0232593831124316	-2.50631940080356	0.0121995361909646	0.901330750240984	0.987372514340999
STAD	0.0226356501590448	1.02289378045776	0.0387575380641333	0.584032198371033	0.559198649442246	0.948069252176507	1.10362368961669
THCA	-0.0404101692180612	0.960395433709321	0.0726319152053157	-0.55636931924251	0.57795840826323	0.83296295703598	1.10732341852493
THYM	-0.19939946486094	0.819222577328726	0.0759675246713032	-2.62479876399425	0.00867001920579424	0.70589196504676	0.950748364391233
UCEC	-0.0228517991270386	0.977407325659067	0.0241225399911658	-0.947321431963941	0.343475013056056	0.932271582954036	1.0247283063428
