	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.232855878516131	1.26219955614509	0.103249476812561	2.25527417382324	0.0241161246548898	1.03096022221614	1.54530474134903
BRCA	0.162949861524508	1.17697767634268	0.134287883788273	1.21343681148052	0.224962859403413	0.904611640176217	1.53134935378364
CESC	0.0474404009093388	1.04858370462366	0.191284981614134	0.24800902041038	0.804127427525232	0.7207439951871	1.52554553758973
CHOL	0.46517634382642	1.59229495551589	0.284411914734506	1.63557263154975	0.101929062171542	0.911867334699536	2.78045185838
COAD	0.0140816803076792	1.01418129419559	0.164972085086625	0.0853579579859529	0.931976815797408	0.733991621768879	1.40132893481463
ESCA	-0.0390588515942913	0.961694110249307	0.194638518958231	-0.200673801893618	0.840953646052077	0.656689917781058	1.40835961790501
GBM	-0.00123060649431859	0.998770150391345	0.0519821827381265	-0.0236736210273832	0.981112947478095	0.902024305998938	1.10589238746514
HNSC	0.186687296381568	1.20525033997453	0.12934136346909	1.4433688603119	0.148916591268691	0.93536624759907	1.55300491731166
KICH	1.50142312288673	4.48807160511375	0.97276772022523	1.54345491906239	0.122720437444371	0.666865719064022	30.2051614842335
KIRC	0.166891126028815	1.18162561003227	0.144304037886637	1.15652429739993	0.247466767015023	0.890529017593124	1.56787600931613
KIRP	0.825186110539593	2.28230548691118	0.246611414170337	3.34609861151693	0.000819572431168916	1.40753031725374	3.70075036518441
LIHC	0.439988586386149	1.55268949661186	0.114558603085021	3.84072932575483	0.000122669315115368	1.24042969798271	1.94355607319746
LUAD	0.0452942955677162	1.04633574657421	0.0871858660455695	0.519514201350506	0.603402212235388	0.881979150765568	1.24132015321304
LUSC	-0.170440966557147	0.843292870640714	0.107125492553679	-1.59104021362368	0.111600525974079	0.683585818148854	1.04031249155991
PAAD	-0.0597246394379153	0.942023894102758	0.300553734329428	-0.198715346429377	0.842485418712881	0.522673060276617	1.69782811570751
PCPG	0.985908459594632	2.68024567365228	0.78299185522551	1.25915544716705	0.207974190320733	0.577684517477369	12.4353633407064
PRAD	0.80526193976669	2.23728245531835	0.777266215130107	1.03601819311276	0.30019365501797	0.48765267977872	10.2643397492383
READ	-0.0874566205014939	0.916258617628126	0.361690373303327	-0.241799690997442	0.808935378355731	0.450968978467557	1.86161331369315
SARC	0.0909126954763363	1.09517338749367	0.0499361317554314	1.82057945380297	0.0686708083921391	0.993063842663112	1.20778211545584
STAD	0.060735776316153	1.06261810821996	0.118514520401857	0.512475400568735	0.608318332363149	0.842359483931704	1.34046955659196
THCA	0.0642619103699499	1.06637165598465	0.552362663370881	0.116340069000648	0.907383030731893	0.361190768278589	3.14833215175189
THYM	-0.0190906609848178	0.98109041158778	0.548172685430264	-0.0348259982524183	0.972218489594861	0.335045350485186	2.87286003018878
UCEC	0.144314463317446	1.15524733432055	0.118165493760427	1.22129107851091	0.221975830087189	0.916415285436095	1.45632272253036
