	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	-0.0178669477888792	0.982291719749263	0.0554941920798329	-0.321960679473919	0.747482482932367	0.881056462834612	1.09515912247396
BRCA	-0.0865652162673255	0.917075738577903	0.109690996509138	-0.789173396379112	0.430010668689114	0.739666685797486	1.13703635223403
CESC	-0.0862821703503082	0.917335349860526	0.102048479445215	-0.845501773464726	0.397830742913207	0.7510421416533	1.12044863721135
CHOL	-0.228565429212201	0.795674235162939	0.240619876022617	-0.949902530872872	0.342161780738841	0.496500037394339	1.27512072672675
COAD	-0.131433935160764	0.876837201333075	0.182339443388868	-0.720820096398236	0.471020209240392	0.613354211483699	1.25350647838839
ESCA	0.0677093637896462	1.07005426676401	0.123186631530606	0.549648634339219	0.5825603942482	0.840522129602602	1.36226768278096
GBM	-0.0939423339139395	0.91033525619842	0.104867911048076	-0.895815821780526	0.370351138262147	0.741203796338887	1.11805994892523
HNSC	-0.177917198043059	0.837011726828466	0.089554252853953	-1.9866973635882	0.0469559441645471	0.702267910902985	0.997608775755601
KICH	-0.860849976038579	0.422802557502728	0.36731800690998	-2.34360951503679	0.019098154514771	0.205814491943359	0.86855887038335
KIRC	-0.336233620936708	0.71445617439678	0.0836085695627411	-4.02152103181712	5.78235439539812e-05	0.606467943998215	0.841672886729169
KIRP	-0.504438097591258	0.60384478195512	0.209888599682234	-2.40336110848786	0.0162451367909846	0.400191461063126	0.911135184458396
LIHC	-0.418214111235159	0.658221280764694	0.140733310445805	-2.97167820404686	0.00296176935389666	0.499550626770331	0.867289982704203
LUAD	-0.171998463139683	0.841980467173873	0.0901625145865746	-1.90764935880897	0.0564365510615476	0.705595081847279	1.00472795990346
LUSC	0.0251906425069718	1.02551060780294	0.0819383512194021	0.307434090777835	0.758512983083934	0.873361626350212	1.20416557699164
PAAD	-0.00155241616543367	0.998448788209231	0.166570992823905	-0.00931984698605267	0.992563945629659	0.72034460532286	1.3839209391034
PCPG	0.509666045880542	1.664735156942	0.499260576150328	1.02084176125111	0.307329415149472	0.625710983448369	4.4291105895017
PRAD	1.10957509400418	3.03306935124091	0.861892098122845	1.28737123407997	0.197964925702546	0.560065030066465	16.4257884273639
READ	-0.650010245908503	0.522040427955155	0.43561557793555	-1.49216483255489	0.135655939145779	0.222283632263509	1.22602913064031
SARC	-0.119228603136447	0.887604868310515	0.0894704946322747	-1.33260248114732	0.182662290518403	0.744838732636367	1.0577355442566
STAD	-0.0948762516763456	0.909485474807644	0.106173031956195	-0.893600285574306	0.371535793518858	0.738620094716362	1.11987723432264
THCA	0.30376368221443	1.35494881974775	0.460648722564005	0.659425864731934	0.509622337589283	0.549310609885884	3.34216428937575
THYM	0.83223953770469	2.29846046945103	0.422665511615041	1.96902636916041	0.0489500630968876	1.00383770262629	5.26272376083066
UCEC	-0.381113178627459	0.683100572859427	0.130861451508847	-2.91234106173501	0.00358730709183342	0.528561078639346	0.882823975314444
