	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.120868063741521	1.12847601564183	0.160161496418425	0.754663676628935	0.450450806254932	0.824446768728339	1.54462139483317
BRCA	0.236980744742458	1.2674167131051	0.189816112647344	1.24847538724355	0.211857016402981	0.873670479876246	1.83861668862347
CESC	0.123427054009447	1.13136747281095	0.204242694156461	0.604315637918952	0.545633811466306	0.75814450577702	1.68832240922564
CHOL	-0.104847424778939	0.900461900279275	0.591715234865493	-0.177192369912147	0.859357288763541	0.282355609967457	2.87166822698517
COAD	-0.0585434430512445	0.943137266749053	0.250259967372215	-0.233930514999917	0.815038922836215	0.577501657839272	1.54026900504316
ESCA	0.272948811714138	1.31383299024475	0.252543190498169	1.08080052040095	0.279785856933383	0.800893943176119	2.15528802653946
GBM	0.632172033353525	1.88169324430468	0.29048918957878	2.17623256228639	0.0295378752462712	1.06483907438573	3.32516861076347
HNSC	0.0968445602670384	1.10168911404939	0.140443491549283	0.689562465292701	0.49046937840374	0.836591295173285	1.45079073977638
KICH	0.861432970412104	2.36654946048031	1.30998989010383	0.657587495078935	0.510803232044879	0.181572540254078	30.8447320341649
KIRC	0.59563908360506	1.8141899936376	0.186007528461516	3.2022310523216	0.00136367571784367	1.25994872660805	2.61223751689911
KIRP	-0.284543172597647	0.752357873519073	0.331075812104039	-0.859450199002249	0.390092184524413	0.393198840154196	1.4395830100215
LIHC	0.293672156287193	1.3413440803508	0.134775669406861	2.17897011812016	0.0293338881400192	1.02995663380935	1.74687349236995
LUAD	0.40994555575418	1.50673574978815	0.142431489149898	2.87819468995895	0.00399958219012889	1.13972267669565	1.99193423638082
LUSC	0.00916740886558267	1.00920955826002	0.134584565818247	0.0681163461043746	0.945693018268944	0.775216066490711	1.31383233205422
PAAD	0.529070297620593	1.6973535412144	0.200784065348968	2.63502134345699	0.0084131992730187	1.14515587242944	2.51582261702158
PCPG	-3.39566814958066	0.0335181515499281	1.7862953263715	-1.90095562556181	0.0573078251336837	0.00101107348611653	1.11116204583616
PRAD	-0.789765950827555	0.453951029712665	0.966836836331417	-0.816855462214553	0.414011032546319	0.0682395255176656	3.01982664465981
READ	0.186252156027976	1.20472600100422	0.46794385341379	0.398022443652611	0.690613641970279	0.481475012865936	3.01441341442934
SARC	0.23173034128598	1.26077970275159	0.205423706610481	1.12806036415934	0.259294426797459	0.842911991802269	1.88580240206531
STAD	0.106173286432458	1.112014556847	0.159884846077788	0.664060972862948	0.506651287380378	0.812860920508406	1.52126439276502
THCA	-1.33118573210362	0.264163847969267	1.05335525387877	-1.26375762327268	0.206317035560213	0.0335162764947019	2.08204925702177
THYM	0.665297868941862	1.94506981094279	0.784301071461222	0.848268468768445	0.396288473572201	0.418154631035344	9.04760174501389
UCEC	-0.413952112440223	0.661032605746401	0.237426438100454	-1.74349628353133	0.0812469629111737	0.415073618671527	1.0527388063313
