	coef	exp(coef)	se(coef)	z	Pr(>|z|)	lower .95	upper .95
BLCA	0.329754538218501	1.39062674084948	0.102847985341835	3.20623235469803	0.00134485346925381	1.13675327082438	1.70119830045724
BRCA	0.392974124986738	1.48138005810471	0.140955466982911	2.78793106360594	0.00530458302457174	1.12378953362762	1.95275610858062
CESC	0.337156451648801	1.40095822881852	0.209164350859889	1.61192120102076	0.10697908804569	0.929788495506421	2.1108929271332
CHOL	0.453367446528772	1.57360229499666	0.48953477349384	0.926118982913225	0.354384149831252	0.602840228314561	4.10759612002313
COAD	-0.190032903456963	0.826931924576732	0.149405119813239	-1.27193033073103	0.203397874090707	0.617015238656705	1.10826502336134
ESCA	-0.0482591042089192	0.952886858093161	0.217405474857357	-0.221977409909216	0.824331468933444	0.622279453508997	1.45914083970881
GBM	0.0655384736568279	1.06773381614769	0.132927518350596	0.49303917255094	0.621984908984167	0.822839039773628	1.38551459889282
HNSC	0.23793022947664	1.26862067740845	0.110523469114636	2.15275752184232	0.0313377401559676	1.02153685157344	1.57546780683378
KICH	1.4947130396368	4.45805708359826	0.419695268090383	3.56142456987366	0.000368848079279564	1.95839533188871	10.1482436344727
KIRC	0.210681412412508	1.23451898997737	0.121318298837228	1.73660045048255	0.0824577199652774	0.973265775067448	1.565900266563
KIRP	0.729248433207635	2.0735216319085	0.243776686614122	2.99146092818126	0.00277646065552123	1.28589491412021	3.3435795653132
LIHC	0.260395763498144	1.29744346583539	0.0983275320570075	2.64824874631425	0.00809099674896819	1.07002000223611	1.57320381256526
LUAD	0.323361799769342	1.38176518280507	0.100032727624269	3.23256005758349	0.00122686344033018	1.1357591208963	1.68105629555111
LUSC	0.00573244812894773	1.00574891005039	0.131892663607562	0.0434629794573279	0.965332474737217	0.776644608655212	1.3024372522447
PAAD	0.475915690823414	1.60948731568782	0.206094208926478	2.30921428264485	0.0209316933949673	1.07463220043371	2.41054513192003
PCPG	0.589934791000862	1.80387078295422	0.579939676189147	1.01723474909907	0.309041769019887	0.578841788952157	5.62148390752213
PRAD	1.46175721585875	4.31353268059847	0.655007032205717	2.23166644629192	0.0256370164654755	1.19478592026734	15.5731364681864
READ	-0.262212140228287	0.769347796777449	0.336210174512102	-0.779905428527858	0.435446542944397	0.398052260906386	1.48698070715271
SARC	0.11497329116408	1.12184347403852	0.123291019557334	0.932535813045277	0.351059687507226	0.881022013170459	1.42849186675125
STAD	0.0289629603906966	1.02938646569649	0.120086902365816	0.241183341564327	0.809413021369562	0.813505132437936	1.30255662012058
THCA	-0.134354776482681	0.874279835650649	0.321899967801443	-0.417380521658065	0.676400099863044	0.46520964757558	1.64305541600176
THYM	-0.421743801709892	0.655902058855331	0.233812449127879	-1.80376965932737	0.071267424101599	0.414779684211213	1.03719523203936
UCEC	0.109852447635663	1.11611337314136	0.0999871888596838	1.09866522790058	0.271914114886268	0.917485189475512	1.35774296522115
