	SNP	Chromosome	Position	trait1
1	ENSG00000158481	1	158259575	3.01752956463632e-10
2	ENSG00000103855	15	73976306	1.72413200687059e-07
3	ENSG00000158488	1	158323253	5.22803765268355e-05
4	ENSG00000258947	16	89987799	6.02509355612669e-05
5	ENSG00000086232	7	6061880	0.00014880464932939
6	ENSG00000184216	23	153275950	0.000197933085495112
7	ENSG00000111640	12	6643092	0.000246241704370445
8	ENSG00000123416	12	49521564	0.000278232138003468
9	ENSG00000145675	5	67511547	0.000577429643561547
10	ENSG00000151276	3	65339199	0.000603619766252034
11	ENSG00000186951	22	46546423	0.00139918950062471
12	ENSG00000167553	12	49582518	0.00205645370075604
13	ENSG00000166501	16	23847321	0.00233415490245443
14	ENSG00000136238	7	6414153	0.00236840412455607
15	ENSG00000135446	12	58141509	0.00246148329588916
16	ENSG00000174175	1	169558086	0.00272228662178431
17	ENSG00000112242	6	20402397	0.00513744342886226
18	ENSG00000123374	12	56360552	0.00786742453057661
19	ENSG00000241685	7	98923520	0.00839487689329467
20	ENSG00000033050	7	150904922	0.00897305632863363
21	ENSG00000136244	7	22765502	0.0106927484794364
22	ENSG00000130429	7	98971871	0.0134377252888214
23	ENSG00000013297	3	170136655	0.0248972922726387
24	ENSG00000184557	17	76352863	0.0264675340413029
25	ENSG00000148948	11	40135842	0.0294137172231016
26	ENSG00000154721	21	27011583	0.0309206642800493
27	ENSG00000180900	8	144873089	0.0331960091252677
28	ENSG00000196230	6	30687977	0.0336711889671738
29	ENSG00000128849	15	57668164	0.0491904745523832
30	ENSG00000105397	19	10461208	0.0519957133971781
31	ENSG00000101412	20	32263488	0.0531746723511472
32	ENSG00000125414	17	10424464	0.0534523296511305
33	ENSG00000154654	21	22370632	0.0700520743356253
34	ENSG00000079337	12	48128454	0.0718560510563915
35	ENSG00000109339	4	86936275	0.0762571842421923
36	ENSG00000100985	20	44637546	0.0811743902300925
37	ENSG00000136950	9	127624408	0.0834328657757234
38	ENSG00000136869	9	120466609	0.0897245017111975
39	ENSG00000055208	6	149539776	0.0918517416010251
40	ENSG00000143761	1	228270360	0.0986491226633989
41	ENSG00000128594	7	127667123	0.0996690907309383
42	ENSG00000111331	12	113376156	0.10095097254858
43	ENSG00000150455	11	126152959	0.105904188103072
44	ENSG00000144668	3	37493609	0.107920903953621
45	ENSG00000177606	1	59246464	0.117353886506799
46	ENSG00000162631	1	107682628	0.118565790367372
47	ENSG00000164342	4	186990305	0.11938280489867
48	ENSG00000112276	6	105544696	0.125945653960317
49	ENSG00000077943	10	15555947	0.13100835915528
50	ENSG00000175104	11	36508576	0.13965591565959
51	ENSG00000132646	20	5095598	0.139996232199776
52	ENSG00000115594	2	102681003	0.146116964496602
53	ENSG00000135828	1	182542768	0.161740138193706
54	ENSG00000111245	12	111348622	0.162455106269353
55	ENSG00000018236	12	41086243	0.174995732642435
56	ENSG00000101335	20	35169886	0.179629887794027
57	ENSG00000196338	23	70364680	0.191872756579441
58	ENSG00000137710	11	110045604	0.195185760645928
59	ENSG00000134318	2	11319886	0.227001038542664
60	ENSG00000100485	14	50583846	0.234867578664395
61	ENSG00000007968	1	23832921	0.253621217759827
62	ENSG00000179915	2	50145642	0.265184238506241
63	ENSG00000186350	9	137208943	0.271615493637318
64	ENSG00000196914	11	120207786	0.281210879944535
65	ENSG00000154229	17	64298753	0.288929296532104
66	ENSG00000104695	8	30657096	0.291259884088649
67	ENSG00000176986	10	75504119	0.298765365707889
68	ENSG00000111229	12	110872629	0.29926008329712
69	ENSG00000127955	7	79764103	0.303579935825473
70	ENSG00000171992	5	149980641	0.354024752934952
71	ENSG00000105647	19	18263927	0.373096313250983
72	ENSG00000107562	10	44793037	0.3922215660259
73	ENSG00000115415	2	191829083	0.397199530544847
74	ENSG00000007908	1	169691780	0.438543558616448
75	ENSG00000185507	11	612552	0.439530731923025
76	ENSG00000076928	19	42387227	0.471362633056221
77	ENSG00000132906	1	15817326	0.512847318273024
78	ENSG00000114019	3	134074715	0.527592330335171
79	ENSG00000184113	22	19510546	0.535465066346156
80	ENSG00000213928	14	24630261	0.538144374823587
81	ENSG00000164877	7	1468100	0.541172992429547
82	ENSG00000133392	16	15797028	0.550760238861176
83	ENSG00000183230	10	67672275	0.556929375816848
84	ENSG00000132970	13	27131839	0.56850988147609
85	ENSG00000170345	14	75745476	0.594944444215366
86	ENSG00000170581	12	56735380	0.611294339921094
87	ENSG00000105695	19	35783027	0.650298176277502
88	ENSG00000107186	9	13105702	0.668101993203283
89	ENSG00000149294	11	112831996	0.690777002290623
90	ENSG00000126456	19	50162825	0.704571412000678
91	ENSG00000104067	15	29991570	0.70886051315925
92	ENSG00000116473	1	112084839	0.718635124712465
93	ENSG00000163531	1	204797778	0.775502252599962
94	ENSG00000127191	9	139776363	0.819913513603449
95	ENSG00000169245	4	76942272	0.853683444719592
96	ENSG00000174775	11	532241	0.869411126309675
97	ENSG00000150672	11	83166054	0.880728964149489
98	ENSG00000198121	9	113635542	0.88149788777869
99	ENSG00000087088	19	49458071	0.891592050483129
100	ENSG00000064547	19	19734476	0.906716063117181
101	ENSG00000172260	1	71861622	0.926891400535664
102	ENSG00000159216	21	36259342	0.937314337122539
103	ENSG00000125755	19	46318667	0.97772796424862
104	ENSG00000015475	22	18216905	0.983586373100922
105	ENSG00000162706	1	159141398	0.991843547708723
106	ENSG00000164305	4	185548849	0.995985099573336
