	SNP	Chromosome	Position	trait1
1	ENSG00000158481	1	158259575	9.34093833401287e-14
2	ENSG00000103855	15	73976306	2.7390623163332e-10
3	ENSG00000158488	1	158323253	5.0399486278615e-09
4	ENSG00000258947	16	89987799	3.80588934409615e-11
5	ENSG00000086232	7	6061880	0.000134528808277627
6	ENSG00000184216	23	153275950	6.66851989496514e-06
7	ENSG00000111640	12	6643092	9.88424570358928e-09
8	ENSG00000123416	12	49521564	1.33210334994186e-09
9	ENSG00000145675	5	67511547	6.59102773657843e-06
10	ENSG00000151276	3	65339199	9.78126033835904e-07
11	ENSG00000186951	22	46546423	7.24540236306024e-05
12	ENSG00000167553	12	49582518	8.41183308516285e-11
13	ENSG00000166501	16	23847321	1.56292696780304e-06
14	ENSG00000136238	7	6414153	1.77184277945748e-05
15	ENSG00000135446	12	58141509	0.000213237310847835
16	ENSG00000174175	1	169558086	1.90912067443669e-07
17	ENSG00000112242	6	20402397	0.00024942553807697
18	ENSG00000123374	12	56360552	3.80885061860696e-07
19	ENSG00000241685	7	98923520	0.000401572953184747
20	ENSG00000033050	7	150904922	0.00144371887950459
21	ENSG00000136244	7	22765502	3.72320244069299e-06
22	ENSG00000130429	7	98971871	8.96019062874363e-05
23	ENSG00000013297	3	170136655	6.64341500829381e-05
24	ENSG00000184557	17	76352863	6.99993681794978e-05
25	ENSG00000148948	11	40135842	5.42313281485723e-05
26	ENSG00000154721	21	27011583	0.00172461506889507
27	ENSG00000180900	8	144873089	0.0083589456697249
28	ENSG00000196230	6	30687977	1.22362443061442e-05
29	ENSG00000128849	15	57668164	0.000618849119000821
30	ENSG00000105397	19	10461208	1.0941366291195e-05
31	ENSG00000101412	20	32263488	0.000113052375129439
32	ENSG00000125414	17	10424464	0.00965986896455387
33	ENSG00000154654	21	22370632	0.0015758329990247
34	ENSG00000079337	12	48128454	0.00851111608801477
35	ENSG00000109339	4	86936275	0.0270466264826115
36	ENSG00000100985	20	44637546	0.00123947847288169
37	ENSG00000136950	9	127624408	0.00323419454174665
38	ENSG00000136869	9	120466609	0.00679005760861407
39	ENSG00000055208	6	149539776	0.0156312869818609
40	ENSG00000143761	1	228270360	0.0288203064769043
41	ENSG00000128594	7	127667123	0.00422779581919573
42	ENSG00000111331	12	113376156	0.0189754588451203
43	ENSG00000150455	11	126152959	0.0033763876062257
44	ENSG00000144668	3	37493609	0.0128448308856062
45	ENSG00000177606	1	59246464	0.0223327776636028
46	ENSG00000162631	1	107682628	0.00299227443324859
47	ENSG00000164342	4	186990305	0.00172880217678801
48	ENSG00000112276	6	105544696	0.0502382829205067
49	ENSG00000077943	10	15555947	0.0110108299718232
50	ENSG00000175104	11	36508576	0.0026401908275741
51	ENSG00000132646	20	5095598	0.0166922790241162
52	ENSG00000115594	2	102681003	0.101499913965126
53	ENSG00000135828	1	182542768	0.0649767485708181
54	ENSG00000111245	12	111348622	0.0314166031241848
55	ENSG00000018236	12	41086243	0.165003245420366
56	ENSG00000101335	20	35169886	0.0463599183200796
57	ENSG00000196338	23	70364680	0.614469341348342
58	ENSG00000137710	11	110045604	0.00834125984478877
59	ENSG00000134318	2	11319886	0.353881239925559
60	ENSG00000100485	14	50583846	0.0348352677630645
61	ENSG00000007968	1	23832921	0.0107870028879993
62	ENSG00000179915	2	50145642	0.0957531520057831
63	ENSG00000186350	9	137208943	0.0954737837057435
64	ENSG00000196914	11	120207786	0.0561930588281358
65	ENSG00000154229	17	64298753	0.0977470015392819
66	ENSG00000104695	8	30657096	0.256336832031025
67	ENSG00000176986	10	75504119	0.252141636016957
68	ENSG00000111229	12	110872629	0.0581193018605969
69	ENSG00000127955	7	79764103	0.160897865549236
70	ENSG00000171992	5	149980641	0.087800397913235
71	ENSG00000105647	19	18263927	0.929018167227234
72	ENSG00000107562	10	44793037	0.373758668999759
73	ENSG00000115415	2	191829083	0.322365151825013
74	ENSG00000007908	1	169691780	0.198467765896601
75	ENSG00000185507	11	612552	0.175945517062235
76	ENSG00000076928	19	42387227	0.701983295197394
77	ENSG00000132906	1	15817326	0.185613499631348
78	ENSG00000114019	3	134074715	0.220506843716386
79	ENSG00000184113	22	19510546	0.663730753916324
80	ENSG00000213928	14	24630261	0.271010104984763
81	ENSG00000164877	7	1468100	0.0689750559741377
82	ENSG00000133392	16	15797028	0.274834312327061
83	ENSG00000183230	10	67672275	0.540630824507372
84	ENSG00000132970	13	27131839	0.292924838609252
85	ENSG00000170345	14	75745476	0.44121772974163
86	ENSG00000170581	12	56735380	0.245762732248523
87	ENSG00000105695	19	35783027	0.617902390768721
88	ENSG00000107186	9	13105702	0.973246813904335
89	ENSG00000149294	11	112831996	0.0167136829186728
90	ENSG00000126456	19	50162825	0.383221438717051
91	ENSG00000104067	15	29991570	0.68821804307193
92	ENSG00000116473	1	112084839	0.579625036431386
93	ENSG00000163531	1	204797778	0.843433997495346
94	ENSG00000127191	9	139776363	0.514421408386892
95	ENSG00000169245	4	76942272	0.162588911998128
96	ENSG00000174775	11	532241	0.64619866051105
97	ENSG00000150672	11	83166054	0.508810705173102
98	ENSG00000198121	9	113635542	0.656651690756937
99	ENSG00000087088	19	49458071	0.919408232336284
100	ENSG00000064547	19	19734476	0.237126785803097
101	ENSG00000172260	1	71861622	0.956004427496068
102	ENSG00000159216	21	36259342	0.30121882814308
103	ENSG00000125755	19	46318667	0.428865038394799
104	ENSG00000015475	22	18216905	0.296456340571161
105	ENSG00000162706	1	159141398	0.71143189515161
106	ENSG00000164305	4	185548849	0.815729920277266
