	SNP	Chromosome	Position	trait1
1	ENSG00000158481	chr1	158259575	9.34093833401287e-14
2	ENSG00000103855	chr15	73976306	2.7390623163332e-10
3	ENSG00000158488	chr1	158323253	5.0399486278615e-09
4	ENSG00000258947	chr16	89987799	3.80588934409615e-11
5	ENSG00000086232	chr7	6061880	0.000134528808277627
6	ENSG00000184216	chrX	153275950	6.66851989496514e-06
7	ENSG00000111640	chr12	6643092	9.88424570358928e-09
8	ENSG00000123416	chr12	49521564	1.33210334994186e-09
9	ENSG00000145675	chr5	67511547	6.59102773657843e-06
10	ENSG00000151276	chr3	65339199	9.78126033835904e-07
11	ENSG00000186951	chr22	46546423	7.24540236306024e-05
12	ENSG00000167553	chr12	49582518	8.41183308516285e-11
13	ENSG00000166501	chr16	23847321	1.56292696780304e-06
14	ENSG00000136238	chr7	6414153	1.77184277945748e-05
15	ENSG00000135446	chr12	58141509	0.000213237310847835
16	ENSG00000174175	chr1	169558086	1.90912067443669e-07
17	ENSG00000112242	chr6	20402397	0.00024942553807697
18	ENSG00000123374	chr12	56360552	3.80885061860696e-07
19	ENSG00000241685	chr7	98923520	0.000401572953184747
20	ENSG00000033050	chr7	150904922	0.00144371887950459
21	ENSG00000136244	chr7	22765502	3.72320244069299e-06
22	ENSG00000130429	chr7	98971871	8.96019062874363e-05
23	ENSG00000013297	chr3	170136655	6.64341500829381e-05
24	ENSG00000184557	chr17	76352863	6.99993681794978e-05
25	ENSG00000148948	chr11	40135842	5.42313281485723e-05
26	ENSG00000154721	chr21	27011583	0.00172461506889507
27	ENSG00000180900	chr8	144873089	0.0083589456697249
28	ENSG00000196230	chr6	30687977	1.22362443061442e-05
29	ENSG00000128849	chr15	57668164	0.000618849119000821
30	ENSG00000105397	chr19	10461208	1.0941366291195e-05
31	ENSG00000101412	chr20	32263488	0.000113052375129439
32	ENSG00000125414	chr17	10424464	0.00965986896455387
33	ENSG00000154654	chr21	22370632	0.0015758329990247
34	ENSG00000079337	chr12	48128454	0.00851111608801477
35	ENSG00000109339	chr4	86936275	0.0270466264826115
36	ENSG00000100985	chr20	44637546	0.00123947847288169
37	ENSG00000136950	chr9	127624408	0.00323419454174665
38	ENSG00000136869	chr9	120466609	0.00679005760861407
39	ENSG00000055208	chr6	149539776	0.0156312869818609
40	ENSG00000143761	chr1	228270360	0.0288203064769043
41	ENSG00000128594	chr7	127667123	0.00422779581919573
42	ENSG00000111331	chr12	113376156	0.0189754588451203
43	ENSG00000150455	chr11	126152959	0.0033763876062257
44	ENSG00000144668	chr3	37493609	0.0128448308856062
45	ENSG00000177606	chr1	59246464	0.0223327776636028
46	ENSG00000162631	chr1	107682628	0.00299227443324859
47	ENSG00000164342	chr4	186990305	0.00172880217678801
48	ENSG00000112276	chr6	105544696	0.0502382829205067
49	ENSG00000077943	chr10	15555947	0.0110108299718232
50	ENSG00000175104	chr11	36508576	0.0026401908275741
51	ENSG00000132646	chr20	5095598	0.0166922790241162
52	ENSG00000115594	chr2	102681003	0.101499913965126
53	ENSG00000135828	chr1	182542768	0.0649767485708181
54	ENSG00000111245	chr12	111348622	0.0314166031241848
55	ENSG00000018236	chr12	41086243	0.165003245420366
56	ENSG00000101335	chr20	35169886	0.0463599183200796
57	ENSG00000196338	chrX	70364680	0.614469341348342
58	ENSG00000137710	chr11	110045604	0.00834125984478877
59	ENSG00000134318	chr2	11319886	0.353881239925559
60	ENSG00000100485	chr14	50583846	0.0348352677630645
