	SNP	Chromosome	Position	trait1
1	ENSG00000125755	19	46318667	7.81399178802552e-27
2	ENSG00000127191	9	139776363	1.02973010039149e-19
3	ENSG00000132970	13	27131839	1.15172409782764e-19
4	ENSG00000101412	20	32263488	3.87215178905662e-19
5	ENSG00000087088	19	49458071	3.32907873859304e-15
6	ENSG00000258947	16	89987799	7.94581021858578e-15
7	ENSG00000107562	10	44793037	8.76838559098802e-15
8	ENSG00000170345	14	75745476	8.71020101232819e-14
9	ENSG00000174175	1	169558086	3.65105989070507e-13
10	ENSG00000013297	3	170136655	6.26389463873207e-13
11	ENSG00000105647	19	18263927	7.35733001437731e-13
12	ENSG00000126456	19	50162825	1.83750027058524e-12
13	ENSG00000100985	20	44637546	4.37634254056287e-12
14	ENSG00000105397	19	10461208	4.41266664961074e-12
15	ENSG00000196914	11	120207786	5.37294830097527e-12
16	ENSG00000179915	2	50145642	6.42622183716204e-12
17	ENSG00000104695	8	30657096	1.70134433890125e-11
18	ENSG00000150672	11	83166054	2.09674732378417e-11
19	ENSG00000111640	12	6643092	3.15766797359604e-11
20	ENSG00000196230	6	30687977	3.68711871094359e-11
21	ENSG00000180900	8	144873089	3.81719760142123e-11
22	ENSG00000033050	7	150904922	6.99528572446292e-11
23	ENSG00000172260	1	71861622	8.08409345302423e-11
24	ENSG00000116473	1	112084839	1.53303071898599e-10
25	ENSG00000241685	7	98923520	3.18511985319477e-10
26	ENSG00000132646	20	5095598	3.25437642254523e-10
27	ENSG00000077943	10	15555947	3.46122697600902e-10
28	ENSG00000144668	3	37493609	3.70144233437187e-10
29	ENSG00000128849	15	57668164	3.8277547799967e-10
30	ENSG00000149294	11	112831996	4.48918627166945e-10
31	ENSG00000107186	9	13105702	4.52676951388636e-10
32	ENSG00000184216	23	153275950	5.61517263507926e-10
33	ENSG00000086232	7	6061880	5.62540045836021e-10
34	ENSG00000109339	4	86936275	7.99934528864553e-10
35	ENSG00000133392	16	15797028	9.13921028711214e-10
36	ENSG00000174775	11	532241	1.19616477870169e-09
37	ENSG00000158481	1	158259575	1.47644580461984e-09
38	ENSG00000015475	22	18216905	1.96077591764528e-09
39	ENSG00000103855	15	73976306	2.32037924298739e-09
40	ENSG00000183230	10	67672275	2.84313629095172e-09
41	ENSG00000163531	1	204797778	5.05952313312766e-09
42	ENSG00000112242	6	20402397	1.65523938337246e-08
43	ENSG00000111331	12	113376156	1.98341621735755e-08
44	ENSG00000007968	1	23832921	2.68382991597028e-08
45	ENSG00000175104	11	36508576	4.48991162725849e-08
46	ENSG00000154721	21	27011583	5.84561073255935e-08
47	ENSG00000154654	21	22370632	6.22023178259717e-08
48	ENSG00000145675	5	67511547	1.92468165768347e-07
49	ENSG00000198121	9	113635542	1.95802435503926e-07
50	ENSG00000125414	17	10424464	2.12547915990954e-07
51	ENSG00000007908	1	169691780	4.17639529465672e-07
52	ENSG00000164877	7	1468100	6.03328378037712e-07
53	ENSG00000111229	12	110872629	6.19787070167426e-07
54	ENSG00000159216	21	36259342	6.36522576148624e-07
55	ENSG00000169245	4	76942272	6.40249953974954e-07
56	ENSG00000151276	3	65339199	6.85305633639996e-07
57	ENSG00000148948	11	40135842	7.5800832152734e-07
58	ENSG00000136238	7	6414153	8.12212908947589e-07
59	ENSG00000123416	12	49521564	9.1282556582607e-07
60	ENSG00000018236	12	41086243	9.73125019036735e-07
61	ENSG00000196338	23	70364680	9.81930559638947e-07
62	ENSG00000171992	5	149980641	1.00417841422802e-06
63	ENSG00000143761	1	228270360	1.01672004748552e-06
64	ENSG00000114019	3	134074715	1.04444901198937e-06
65	ENSG00000105695	19	35783027	1.05381807226332e-06
66	ENSG00000115594	2	102681003	1.10006385705007e-06
67	ENSG00000166501	16	23847321	1.30618493539257e-06
